,Series Name,Country Name,Country Code,Years,GDPGrowth
0,GDP growth (annual %),Guatemala,GTM,1990,3.10256318
1,GDP growth (annual %),Guatemala,GTM,2000,3.608868717
2,GDP growth (annual %),Guatemala,GTM,2012,2.974708568
3,GDP growth (annual %),Guatemala,GTM,2013,3.694819199
4,GDP growth (annual %),Guatemala,GTM,2014,4.443977583
5,GDP growth (annual %),Guatemala,GTM,2015,4.092170816
6,GDP growth (annual %),Guatemala,GTM,2016,2.677802555
7,GDP growth (annual %),Guatemala,GTM,2017,3.079851491
8,GDP growth (annual %),Guatemala,GTM,2018,3.322097997
9,GDP growth (annual %),Guatemala,GTM,2019,3.866856575
10,GDP growth (annual %),Guatemala,GTM,2020,-1.519328029
